#	Fracture
2HPP	2 Hour PostPrandial
NCHD	Non-Consultant Hospital Doctor
NCHS	North County Health Services
NCL	Neuronal ceroid lipofuscinosis
NCLEX-PN	National Council Licensure Examination for Practical Nurses
NCLEX-RN	National Council Licensure Examination for Registered Nurses
NCM	Non Compos Mentis
NCMB	North Carolina Medical Board
NCMC	North Colorado Medical Center
NCMC	North Canyon Medical Center
NCMH	Newberry County Memorial Hospital
NCP	Nursing Care Plan
NCP	Nursing Care Plans
NCPR	National Cardiac Procedures Register
NCRTAC	North Central Regional Trauma Advisory Council
NCS	Nerve Conduction Studies
NCSH	North Carolina Specialty Hospital
NDA	New Drug Application
NDA	Next Doctor Appointment
NDAU	Neonatal Data Analysis Unit
NDCHRC	New Delhi Children's Hospital & Research Centre
NDE	Near Death Experience
NDE	Nondestructive examination
NDE	Nondestructive evaluation
NDG	National Data Guardian
NDH	Northern Dutchess Hospital
NDHB	Northland District Health Board
NDI	Nondestructive inspection
NDS	Nutrition Data System
NDSH	North Dakota State Hospital
NDSS	National Diabetes Services Scheme
NDSSA	National Diabetes Services Scheme Agreement
NDT	Non-destructive testing
NDT	Nondestructive testing
NDU	Nursing Development Unit
NE	NorEpinephrine
NEBH	New England Baptist Hospital
NEBM	Nocturnal Empty Bladder Management
NED	No Evident Disease
NEDH	New England Deconess Hospital
NEFSH	Northeast Florida State Hospital
NEH	National Eye Hospital (Egypt)
NELFT	North East London NHS Foundation Trust
NEMA	Nameless Emergency Management Agency
NEP	NACSE (National Association of Communication Systems Engineers) Endorsed Provider
NERC	National Environmental Respiratory Center
NERH	New England Rehabilitation Hospital
NERH	New England Rehab Hospital
NERH-P	New England Rehabilitation Hospital - Portland, Maine
NERV	Network Emergency Response Vehicle
NEWH	Network of Executive Women in Hospitality
NEWS	Nights, Evenings, and Weekends Service
NEWS	National Early Warning Score
NF	Nursing Facility
NF1	Neurofibromatosis type 1
NF2	Neurofibromatosis type 2
NFAH	North Florida Animal Hospital
NFF	Normal For Fife
NFH	Niger Foundation Hospital
NFI	Neurobehavioral Functioning Inventory
NFR	Not For Resuscitation
NGH	Norfolk General Hospital
NGH	Northampton General Hospital
NGH	Nashville General Hospital
NGHP	Non-Group Health Plan
NGIP	Nursing Global Innovation Project
NGMS	New General Medical Services
NHA	Nebraska Hospital Association
NHB	Naval Hospital Bremerton
NHCH	North Hawaii Community Hospital
NHCL	Naval Hospital Camp Lejeune
NHCP	Naval Hospital Camp Pendleton
NHCS	National Hospital Care Survey
NHDDB	National Hospital Discharge Data Base
NHDS	National Hospital Discharge Survey
NHG	No Hospital Gang
NHH	New Hampshire Hospital
NHH	Northumberland Hills Hospital
NHI	National Health Institute
NHIF	National Hospital Insurance Fund
NHIG	Normal Human Immunoglobulin
NHIS	National Health Information System
NHIS	National Health Insurance Scheme
NHMC	Northwest Hospital & Medical Center
NHN	National Hospital Network
NHN	National Hospital Network National Hospital Network
NHNN	National Hospital for Neurology and Neurosurgery
NHNO	New Hospital, New Opportunities
NHO	No History Of ....
NHO	National Hospitals Office
NHOH	New Hampshire Oncology-Hematology
NHOH	Naval Hospital Oak Harbor
NHPA	New Health Plan Accreditation
NHQI	Nursing Home Quality Inspection
NHS	Non-Hospital Surgery
NHS	Northern Hospital Service
NHS	National Health Service (U.K.)
NHSL	National Hospital of Sri Lanka
NHU	National Hospital Union
NHW	National Hospital Week
NI	Near Inclusion
NI	New Instructions
NIAMH	Northern Ireland Association for Mental Health
NIB	National Information Board
NIBP	Non-Invasive Blood Pressure
NICARE	Northern Ireland Centre for Health Care Cooperation and Development
NICE	National Institute of Clinical Excellence
NICU	Neonatal Intensive Care Unit
NICVD	National Institute of Cardio-Vascular Diseases
NIDCH	National Institute of Diseases of the Chest and Hospital
NIDDK	National Institute of Diabetes and Digestive Kidney diseases
NIGP	Nursing Innovation Grant Program
NIH	Northern Inyo Hospital
NIHR	National Institute for Health Research
NIIW	National Infant Immunization Week
NIMHANS	National Institute of Mental Health and Neuro Sciences
NIMP	National Intern Matching Program
NIMS	Nizam's Institute of Medical Sciences
NIPS	Neonatal Infant Pain Scale
NIS	Nationwide Inpatient Sample
NIV	Non Invasive Ventilation
NJH	National Jewish Hospital
NJHC	National Jewish Health Center
NJR	National Joint Registry (UK)
NJRR	National Joint Replacement Registry (Australia)
NKDA	No Known Drug Allergies
NKFA	No Known Food Allergies
NKH	Non-ketotic hyperglycinemia
NLAH	North Laurel Animal Hospital
NLC	Neurotrauma Law Center
NLD	Nonverbal learning disability
NLH	Nathan Littauer Hospital
NLS	Not Life Safe
NMAH	North Mecklenburg Animal Hospital
NMAH	Newport Mesa Animal Hospital
NMC	Nursing and Midwifery Council
NMC	New Medical Center
NMCH	Nalanda Medical College and Hospital
NMCSD	Naval Medical Center San Diego
NMDH	Northwestern Medicine Delnor Hospital
NMDH	Naonal Mobile Disaster Hospital
NMDs	Neuronal migration disorders
NMH	Northwestern Memorial Hospital
NMHA	New Mexico Hospital Association
NMS	Neuroleptic malignant syndrome
NMSH	North Mississippi State Hospital
NMSL	Nigerian National Petroleum Corporation Medical Services Limited
NMSP	Newborn Mass Screening Program
NMTR	Nothing Machine Therapy Recordings
NMUC	National Medical Utilization Committee
NMUH	North Middlesex University Hospital
NNMC	National Naval Medical Center
NNNSV	No Needle No Scalpel Vasectomy
NNT	Numbers Needed to Treat
NNUH	Norfolk and Norwich University Hospital
NOCH	North Ottawa Community Hospital
NOH	Nebraska Orthopaedic Hospital
NOH	Not On Hospital
NOHC	Neurologic & Orthopedic Hospital of Chicago
NOK	Next Of Kin
NOLC	Natural Orifice Linear Cutter
NOMC	North Okaloosa Medical Center
NOMC	Northwestern Ontario Medical Center
NOMC	North Oakland Medical Center
NOMI	Naval Operational Medicine Institute
NOPP	Notice Of Privacy Practices
NORMASH	Norwegian Mobile Army Surgical Hospital
NOS	Neonatal Opium Solution
NOS	Not Otherwise Specified - other eating disorder, inappropriate diet, binge eating
NP	Niemann–Pick disease
NPC1	Niemann–Pick disease, type C1
NPFD	Near Patient FNA Diagnosis
NPH	Normal pressure hydrocephalus
NPHHI	National Public Health and Hospital Institute
NPHI	National Public Health Institute (Finland)
NPHI	North Penn Hernia Institute
NPO	Nil Per Os (Nothing By Mouth)
NPO	Nothing By Mouth (nulla per os)
NPP	Non-Physician Provider (Hospital)
NPP	Nonparalytic polio
NPR	Norwegian Patient Registry
NPS	Nasopharynx Swab
NPs	Neutrophils
NPWT	Negative pressure wound therapy
NRAH	new Royal Adelaide Hospital
NRB	No Reaction Baby
NREMT	National Registry of Emergency Medical Technicians
NRH	National Rehabilitation Hospital, Washington D.C.
NRH	Northeast Rehabilitation Hospital
NRH	National Rehabilitation Hospital
NRHP	Nevada Rural Hospital Partners
NRMP	National Resident Matching Program
NRP	Neo-natal Resuscitation Program
NRP	No Reported Problems
NRS	Numerical Rating Scale
NS	NeuroSurgery
NS	Normal Saline
NS	Nephrotic Syndrome
NS	Newborn Screening
NS	No Sequelae
NS	neurosurgeon
NSA	Nursing Students Association
NSA	No Significant Allergies
NSAA	National Surgical Assistant Association
NSAID	Non Steroidal Anti-Inflammatory Drug
NSC	No Scrubs Club
NSH	North Side Hospital
NSHA	North Simcoe Hospital Alliance
NSKH	Nawaz Sharif Kidney Hospital
NSMH	North Staffordshire Maternity Hospital
NSMH	National Society for Minorities in Hospitality
NSQAP	Newborn Screening Quality Assurance Program
NSQIP	National Surgical Quality Improvement Program
NSR	Normal Sinus Rhythm
NSR	Next Stage Review
NSRP	Nerve Sparing Radical Prostatectomy
NST	Non Stress Test
NST	Nutritional Support Team
NSTO	Non-Surgical Treatment Options
NSV	No - Scalpel Vasectomy
NSV	National Supplies Vocabulary
NSVD	Normal Spontaneous Vaginal Delivery
NTD	Neural tube defect
NTDS	National Trauma Data Standard
NTDs	Neural tube defects
NTGH	North Tyneside General Hospital
NTGH	North Toronto General Hospital
NTN	Number Treated Needlessly
NTSH	North Texas State Hospital
NTUH	National Taiwan University Hospital
NUH	Nagoya University Hospital
NUHC	Nottingham University Hospitals Charity
NVH	North Valley Hospital
NWH	Newton-Wellesley Hospital
NWH	NorthWest Hospital
NWH	Newton Wellesley Hospital
NWH	Northern Westchester Hospital
NWIHC	Northwest Indiana Heart Center
NYAS	North Yorkshire Ambulance Service
NYCH	New York Cancer Hospital
NYCH	New York Community Hospital
NYD	Not Yet Diagnosed
NYGH	North York General Hospital
NYH	New York Hospital Medical Center
NYH	New York Hospital
NYH-Q	New York Hospital Medical Center of Queens
NYM	New York Methodist Hospital
NYMH	New York Methodist Hospital
NYOH	New York Orthopaedic Hospital
NYP	New York Presbyterian
NYPH	NewYork Presbyterian Hospital
NYPH	New York Presbyterian Hospital
NYV	New York virus
O	Obvious
O&M	Organization and Method
O.R.N.	Operating Room Nurse
O/A	On Admission
OA	Osteoarthritis
OAD	Oral Antidiabetic Drug
OAR	Organ At Risk
OATS	Osteochondral Autograft Transfer Surgery
OATS	Offering Alternative Therapy with Smiles
OAUTH	Obafemi Awolowo University Teaching Hospital
OBB	Original Bidet Bottle
OBE	Out of Body Experience
OBG	Obstetrics and Gynecology
OBHK	Oceans Behavioral Hospital Kentwood
OBPM	Office blood pressure measurement
OC	Oxycontin
OC	Office of the Commissioner
OCAIRS	Occupational Circumstances Assessment Interview and Rating Scale
OCCAM	Office of Cancer Complementary and Alternative Medicine
OCD	Obsessive Compulsive Disorder
OCD	Obsessive-compulsive disorder
OCG	Oktibbeha County Hospital
OCH	Ozarks Community Hospital
OCH	Oktibbeha County Hospital
OCMH	Osborne County Memorial Hospital
OCSG	Operation Capacity Study Group
OCT	Optical Coherence Tomography
OCTC	Ottawa Children's Treatment Centre
OD	OverDose
ODBT	Office of Devices, Blood, and Tissues
ODCH	Oral Design Center Holland
ODCH	Owensboro Daviess County Hospital
ODCM	Off-site Dose Calculation Manual
ODD	Oppositional defiant disorder
ODEP	Orthopedic Data Evaluation Panel
ODH	Ohio Department of Health
ODH	Oxygen Deficiency Hazard
ODI	Oswestry Disability Index
ODP	Operational Departmental Practitioners
ODT	Orally Disintegrating Tablet
OEC	Outdoor Emergency Care
OECC	Optometric Eye Care Center
OFI	Outlook For Hospitals
OGD	Oesophago-Gastro-Duodenoscopy
OGH	Olean General Hospital
OGH	Ottawa General Hospital
OGH	Ochiltree General Hospital
OH	Orthopaedically Handicapped
OH	Osteopathic Hospital
OHA	Ontario Hospital Association
OHA	Ohio Hospital Association
OHA	Oklahoma Hospital Association
OHBA	Oxfords Hospitals' Broadcasting Association
OHCA	Out of Hospital Cardiac Arrest
OHD	Occupational Health Doctor
OHEP	Outdoor Hospitality Education Program
OHH	Oklahoma Heart Hospital
OHHAA	Odisha Hospital Healthcare Administrators Association
OHI	Organizational Health Inventory
OHI	Other Health Insurance
OHI	Other Health Impairment
OHI	Optimum Health Institute
OHP	Object Health Points
OHPE	Office of Hospital Physical Environment
OHRI	Ottawa Hospital Research Institute
OHRR	Open Heart Recovery Room
OHRU	Open Heart Recovery Unit
OHU	Occupational Health Unit
OI	Orthopedic Impairment
OICU	Oncology Intensive Care Unit
OICU	Obstetric Intensive Care Unit
OICU	Orthopedic Intensive Care Unit
OIS	Optical Intrinsic Signal
OLLH	Our Lady of Lourdes Hospital
OLOLH	Our Lady Of Lourdes Hospital
OLT	Orthotopic Liver Transplant
OMA	Oculomotor apraxia
OMCH	Orebro Medical Centre Hospital
OMFS	Oral and MaxilloFacial Surgery
OMFS	Oral and Maxillo Facial Surgery
OMH	Ontonagon Memorial Hospital
OMH	Otsego Memorial Hospital
OMH	Omdurman Maternity Hospital
OMHO	Office of Mental Health Ombudsman
OMM	Osteopathic Manipulative Medicine
OMNI	Opera Nazionale Maternita e Infanzia
OMSH-N	Olaniba Memorial & Specialist Hospital-Nigeria
OMT	Osteopathic Manipulative Therapy
ON	Osteonecrosis
ONH	Osaka National Hospital
ONS	Oncology Nursing Service
OOB	Out Of Bed
OOPD	Orthopedic Out-Patient Department
OOPD	Orthop(a)edic Out-Patient Department
OOR	Orthopedic Operating Room
OOT	Out Of Trend
OOTC	Out Of The Crisis
OOTW	Out Of The Woods
OP	On Program
OP	Out-Patient
OP	Off Pump
OP	Operative Procedure
OPAQ	OsteoPorosis Assessment Questionnaire
OPAT	Outpatient Parenteral Antibiotic Therapy
OPBH	Out-Patient Behavioral Health
OPC	Out-Patient Clinic
OPC	Oropharyngeal candidiasis
OPCA	Olivopontocerebellar atrophy
OPCAB	Off-Pump Coronary Artery Bypass
OPD	Once Per Day
OPD	Out Patients Department
OPD	Out Patient Department
OPG	OrthoPantomoGram
OPH	Oromocto Public Hospital
OPM	Occupational Performance Model
OPMAS	Oncology Patient Management Audit System
OPO	Organ Procurement Organization
OPPM	Open Prefascial Polypropylene Mesh
OPPS	Outpatient Prospective Payment System
OPR	Oral Phonogram Review
OPSI	Overwhelming Post-Splenectomy Infection
OPSN	Outcomes Potentially Sensitive to Nursing
OPSOSA	OPeratore SOcio SAnitario
OPSQ	Osteoporosis Patient Satisfaction Questionnaire
OPSQ	Office of Patient Safety and Quality
OR	Operating Room
OR(s)	Operating Room(s)
OREP	Occupational Risk &#38; Exposure Profile
ORH	Oxford Radcliffe Hospitals
ORIF	Operating Room Is Full
ORRF	On-line Referral Request Form
ORs	Operating Rooms
ORT	Oral Rehydration Therapy
ORx	Non-Prescription Medicine
OSA	Obstructive sleep apnea
OSAGH	Ochsner St Anne General Hospital
OSB	Oral Systemic Balance
OSCA	Objective Structured Clinical Assessment
OSCAR	Open Source Clinical Application Resource
OSCE	Oral Simulated Clinical Examination
OSCE	Objective Structured Clinical Examination
OSH	Oregon State Hospital
OSH	Oregon State Hospital's
OSH	Osawatomie State Hospital
OSHM	Office of State Hospital Management
OT	Occupational Therapy
OTA	Occupational Therapy Assistant
OTC	Over The Counter
OTCIL	Out of temperature control inside laboratory
OTCOL	Out of temperature control outside laboratory
OTFC	Oral Transmucosal Fentanyl Citrate
OTP	Opioid Treatment Program
OTR/L	Occupational Therapist Registered and Licensed
OTRR	Office of Therapeutics Research and Review
OTSI	Optimum TransSource, Incorporated
OU	Osmania University Hyderabad
OUH	Oxford University Hospitals
OUH	Oslo University Hospital
OUH	Odense University Hospital
OUH	Okayama University Hospital
OVD	OVerDose
OVHD	Oak Valley Hospital District
OWC	Ohio Wellness Center
OWO	Oral WithOut
P&N	Psychiatry and Neurology
P.M.H.N.P.	Psychiatric/Mental-Health Nurse Practitioner
p/o	postoperative
PA	Posterior Anterior
PA	Physician's Assistant
PA	Power of Attorney
PA	Provider Assigned
PA	Personal Accident
PA	Personal Assistant
PAC	Physician's Assistant Committee
PAC	Post-Acute Care
PAC	Post Anaesthesia Care
PACE	Patient Administrative Cycle Enhancements
PACE	Progressive Accelerating Cardiopulmonary Exertion
PACE	Promoting Aphasics Communicative Effectiveness
PaCO2	Partial pressure of carbon dioxide
PACS	Picture Archiving and Communications System
PACS	Pediatric Activity Card Sort
PACT	Psychiatric Assessment Center for Treatment
PACU	Post Anesthesia Care Unit
PACU	Post-Anesthesia Care Unit
PADL	Personal Activities of Daily Living
PAH	Punxsutawney Area Hospital
PAIRS	Provider Access to Immunization Registry Securely
PAKH	Prince Aly Khan Hospital
PAL	Power-Assisted Liposuction
PAL	Personalized Assisted Living
PALS	Patient Advocacy and Liaison Service
PALS	Pediatric Advanced Life Support
PALS	Patient Advice and Liaison Service
PALS	Practical Assisted Living Services
PAMS	Partnership Actions for Mitigating Syndromes
PAMS	Patient Accounting Management System
PANDAS	Paediatric autoimmune neuropsychiatric disorders associated with streptococcal infections
PAP	Pre-Anaesthetic Profile
PAP	Positive Airway Pressure
PAPR	Powered air purifying respirator
PAR	PostnAnasthetic Recovery
PAR	Post-Anesthesia Recovery
PARA	Number of Pregnancies
PARP	Physicians Associate Rural Program
PAS	Patient Administration System
PAS	Patient Accounting System
PAS	Patient Access Service
PASBA	Patient Administraton Systems and Biostatistics Activity
PASG	Pneumatic Anti-Shock Garment
PASRR	Pre-Admission Screening and Resident Review
PASS	Pre-Admission Screening System
PASSPORT	Pre-Admission Screening System Providing Options and Resources Today
PAT	Polygon Attribute Table
PAT	Patient
PATH	Personal Actions To Health
PATH	Physicians At Teaching Hospitals
PAUT	Phased array ultrasonic testing
PAWS	Patient Adjustable Warming System
PAWS	Post Accute Withdrawal Symptoms
PBA	Partial Birth Abortion
PBAH	Pleasant Bay Animal Hospital
PBBH	Peter Bent Brigham Hospital
PBC	Primary biliary cirrhosis
PBC	Primary biliary cholangitis
PBHH	Providence Behavioral Health Hospital
PBM	Prophylactic Bilateral Mastectomy
PBP	Progressive bulbar palsy
PBRS	Patient Barcode Registration System
PBS	Pharmaceutical Benefit Scheme
PBT	Persistence, Bioaccumulation, and Toxicity
